player,nationality,position,team,age,birth_year,gk_games,gk_games_starts,gk_minutes,gk_goals_against,gk_goals_against_per90,gk_shots_on_target_against,gk_saves,gk_save_pct,gk_wins,gk_ties,gk_losses,gk_clean_sheets,gk_clean_sheets_pct,gk_pens_att,gk_pens_allowed,gk_pens_saved,gk_pens_missed,minutes_90s,gk_free_kick_goals_against,gk_corner_kick_goals_against,gk_own_goals_against,gk_psxg,gk_psnpxg_per_shot_on_target_against,gk_psxg_net,gk_psxg_net_per90,gk_passes_completed_launched,gk_passes_launched,gk_passes_pct_launched,gk_passes,gk_passes_throws,gk_pct_passes_launched,gk_passes_length_avg,gk_goal_kicks,gk_pct_goal_kicks_launched,gk_goal_kick_length_avg,gk_crosses,gk_crosses_stopped,gk_crosses_stopped_pct,gk_def_actions_outside_pen_area,gk_def_actions_outside_pen_area_per90,gk_avg_distance_def_actions
Vincenzo Fiorillo,it ITA,GK,Salernitana,32,1990,1.0,1.0,90.0,2.0,2.0,4.0,2.0,50.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.9,0.49,-0.1,-0.05,7.0,15.0,46.7,19.0,3.0,57.9,37.9,5.0,80.0,56.2,7.0,1.0,14.3,0.0,0.0,6.0
Pierluigi Gollini,it ITA,GK,Napoli,27,1995,4.0,4.0,360.0,4.0,1.0,16.0,12.0,75.0,2.0,1.0,1.0,2.0,50.0,0.0,0.0,0.0,0.0,4.0,0.0,1.0,0.0,3.1,0.19,-0.9,-0.23,15.0,36.0,41.7,128.0,24.0,20.3,29.6,31.0,32.3,32.2,56.0,2.0,3.6,4.0,1.0,18.8
Pierluigi Gollini,it ITA,GK,Fiorentina,27,1995,3.0,3.0,270.0,2.0,0.67,8.0,6.0,75.0,1.0,2.0,0.0,2.0,66.7,0.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,1.7,0.21,-0.3,-0.1,13.0,38.0,34.2,115.0,17.0,27.0,32.4,11.0,63.6,49.3,24.0,1.0,4.2,0.0,0.0,9.3
Samir Handanović,si SVN,GK,Inter,38,1984,14.0,14.0,1234.0,18.0,1.31,52.0,35.0,67.3,9.0,0.0,5.0,4.0,28.6,1.0,1.0,0.0,0.0,13.7,0.0,1.0,1.0,15.0,0.27,-2.0,-0.14,45.0,87.0,51.7,508.0,71.0,15.6,24.7,71.0,11.3,25.5,149.0,2.0,1.3,10.0,0.73,15.4
Mike Maignan,fr FRA,GK,Milan,27,1995,22.0,22.0,1978.0,21.0,0.96,62.0,40.0,69.4,11.0,7.0,4.0,8.0,36.4,3.0,2.0,1.0,0.0,22.0,1.0,2.0,0.0,20.3,0.28,-0.7,-0.03,76.0,193.0,39.4,725.0,119.0,22.8,29.8,85.0,32.9,35.1,221.0,15.0,6.8,32.0,1.46,17.8
Federico Marchetti,it ITA,GK,Spezia,39,1983,1.0,0.0,66.0,2.0,2.73,3.0,1.0,33.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.0,0.0,0.0,1.5,0.48,-0.5,-0.74,2.0,4.0,50.0,10.0,2.0,10.0,24.3,8.0,37.5,32.4,8.0,0.0,0.0,1.0,1.36,22.0
Luís Maximiano,pt POR,GK,Lazio,23,1999,1.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,66.7,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0
Alex Meret,it ITA,GK,Napoli,25,1997,34.0,34.0,3060.0,24.0,0.71,91.0,66.0,74.7,26.0,5.0,3.0,16.0,47.1,2.0,1.0,1.0,0.0,34.0,0.0,1.0,0.0,25.0,0.25,1.0,0.03,56.0,145.0,38.6,733.0,121.0,14.3,26.1,198.0,20.2,26.9,335.0,11.0,3.3,39.0,1.15,17.0
Vanja Milinković-Savić,rs SRB,GK,Torino,25,1997,38.0,38.0,3420.0,41.0,1.08,136.0,95.0,73.5,14.0,11.0,13.0,11.0,28.9,6.0,5.0,0.0,1.0,38.0,0.0,6.0,0.0,35.8,0.23,-5.2,-0.14,285.0,939.0,30.4,1506.0,185.0,45.0,39.7,286.0,91.3,70.0,469.0,36.0,7.7,70.0,1.84,16.2
Antonio Mirante,it ITA,GK,Milan,39,1983,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,27.0,1.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0
Lorenzo Montipò,it ITA,GK,Hellas Verona,26,1996,37.0,37.0,3330.0,59.0,1.59,181.0,124.0,68.0,7.0,9.0,21.0,5.0,13.5,2.0,1.0,1.0,0.0,37.0,1.0,4.0,3.0,49.6,0.27,-6.4,-0.17,360.0,775.0,46.5,905.0,124.0,62.9,44.3,284.0,72.5,52.1,496.0,26.0,5.2,55.0,1.49,15.3
Juan Musso,ar ARG,GK,Atalanta,28,1994,24.0,24.0,2077.0,27.0,1.17,89.0,64.0,71.9,13.0,4.0,7.0,7.0,29.2,2.0,2.0,0.0,0.0,23.1,0.0,3.0,2.0,21.7,0.23,-3.3,-0.14,109.0,276.0,39.5,547.0,152.0,32.5,32.1,157.0,62.4,48.6,253.0,14.0,5.5,24.0,1.04,15.6
Guillermo Ochoa,mx MEX,GK,Salernitana,37,1985,20.0,20.0,1800.0,33.0,1.65,105.0,71.0,71.4,4.0,10.0,6.0,4.0,20.0,4.0,3.0,1.0,0.0,20.0,1.0,6.0,0.0,34.8,0.3,1.8,0.09,135.0,430.0,31.4,556.0,45.0,53.6,40.9,200.0,66.0,47.3,311.0,11.0,3.5,10.0,0.5,12.3
André Onana,cm CMR,GK,Inter,26,1996,24.0,24.0,2160.0,24.0,1.0,83.0,61.0,73.5,14.0,3.0,7.0,8.0,33.3,2.0,2.0,0.0,0.0,24.0,0.0,5.0,2.0,19.3,0.21,-2.7,-0.11,105.0,270.0,38.9,875.0,115.0,25.5,29.6,152.0,30.9,35.4,283.0,15.0,5.3,10.0,0.42,12.5
Rui Patrício,pt POR,GK,Roma,34,1988,35.0,35.0,3150.0,35.0,1.0,108.0,73.0,69.4,17.0,8.0,10.0,13.0,37.1,3.0,2.0,1.0,0.0,35.0,1.0,4.0,1.0,27.6,0.23,-6.4,-0.18,135.0,328.0,41.2,644.0,121.0,37.6,33.6,240.0,35.8,34.8,402.0,16.0,4.0,25.0,0.71,13.8
Gianluca Pegolo,it ITA,GK,Sassuolo,41,1981,2.0,2.0,180.0,3.0,1.5,6.0,3.0,66.7,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,3.2,0.38,0.2,0.12,9.0,18.0,50.0,61.0,10.0,21.3,29.7,16.0,31.3,28.3,28.0,2.0,7.1,0.0,0.0,9.0
Simone Perilli,it ITA,GK,Hellas Verona,27,1995,1.0,1.0,90.0,0.0,0.0,4.0,4.0,100.0,0.0,1.0,0.0,1.0,100.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.8,0.19,0.8,0.75,6.0,30.0,20.0,21.0,0.0,81.0,57.3,13.0,100.0,69.8,19.0,1.0,5.3,1.0,1.0,12.0
Mattia Perin,it ITA,GK,Juventus,29,1992,11.0,10.0,948.0,7.0,0.66,40.0,32.0,85.0,5.0,3.0,2.0,6.0,60.0,2.0,1.0,1.0,0.0,10.5,0.0,1.0,0.0,11.2,0.23,4.2,0.39,32.0,107.0,29.9,287.0,54.0,28.6,30.8,63.0,39.7,35.9,154.0,4.0,2.6,11.0,1.04,15.7
Samuele Perisan,it ITA,GK,Empoli,24,1997,7.0,7.0,630.0,9.0,1.29,24.0,15.0,62.5,1.0,1.0,5.0,2.0,28.6,0.0,0.0,0.0,0.0,7.0,0.0,2.0,0.0,7.5,0.31,-1.5,-0.22,25.0,75.0,33.3,153.0,39.0,32.0,32.7,75.0,34.7,34.3,134.0,5.0,3.7,4.0,0.57,11.6
Ivan Provedel,it ITA,GK,Lazio,28,1994,38.0,37.0,3413.0,30.0,0.79,128.0,99.0,77.3,21.0,8.0,8.0,21.0,56.8,2.0,1.0,0.0,1.0,37.9,0.0,5.0,1.0,31.4,0.25,2.4,0.06,158.0,373.0,42.4,1121.0,166.0,27.4,32.2,198.0,33.3,33.2,493.0,21.0,4.3,55.0,1.45,16.5
Ionuț Radu,ro ROU,GK,Cremonese,25,1997,9.0,9.0,810.0,19.0,2.11,64.0,45.0,75.0,0.0,3.0,6.0,1.0,11.1,3.0,3.0,0.0,0.0,9.0,0.0,3.0,0.0,21.0,0.29,2.0,0.22,38.0,143.0,26.6,265.0,34.0,41.1,37.3,67.0,50.7,46.3,107.0,6.0,5.6,9.0,1.0,14.5
Nicola Ravaglia,it ITA,GK,Sampdoria,33,1988,9.0,9.0,810.0,23.0,2.56,64.0,41.0,67.2,0.0,3.0,6.0,0.0,0.0,2.0,2.0,0.0,0.0,9.0,0.0,3.0,0.0,17.9,0.26,-5.1,-0.57,49.0,145.0,33.8,226.0,45.0,42.5,35.6,99.0,49.5,37.6,155.0,10.0,6.5,1.0,0.11,10.5
Francesco Rossi,it ITA,GK,Atalanta,31,1991,1.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,17.3,1.0,100.0,65.0,1.0,0.0,0.0,0.0,0.0,0.0
Alessandro Russo,it ITA,GK,Sassuolo,21,2001,1.0,1.0,90.0,3.0,3.0,7.0,4.0,57.1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.8,0.4,-0.2,-0.22,0.0,12.0,0.0,42.0,2.0,28.6,30.7,8.0,0.0,18.3,14.0,0.0,0.0,0.0,0.0,10.0
Mouhamadou Sarr,sn SEN,GK,Cremonese,25,1997,2.0,2.0,180.0,3.0,1.5,8.0,5.0,62.5,1.0,0.0,1.0,1.0,50.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,2.9,0.36,-0.1,-0.05,19.0,38.0,50.0,71.0,12.0,40.8,35.7,12.0,75.0,53.6,18.0,0.0,0.0,1.0,0.5,8.6
Luigi Sepe,it ITA,GK,Salernitana,31,1991,17.0,17.0,1530.0,27.0,1.59,87.0,57.0,73.6,4.0,5.0,8.0,3.0,17.6,7.0,4.0,3.0,0.0,17.0,0.0,0.0,0.0,30.3,0.27,3.3,0.2,76.0,274.0,27.7,490.0,84.0,40.6,35.9,154.0,48.7,41.1,222.0,16.0,7.2,13.0,0.76,14.2
Marco Silvestri,it ITA,GK,Udinese,31,1991,38.0,38.0,3420.0,48.0,1.26,137.0,91.0,69.3,11.0,13.0,14.0,10.0,26.3,7.0,6.0,0.0,1.0,38.0,2.0,3.0,2.0,48.7,0.31,2.7,0.07,144.0,380.0,37.9,872.0,142.0,31.9,32.0,302.0,33.8,34.1,547.0,13.0,2.4,21.0,0.55,12.2
Salvatore Sirigu,it ITA,GK,Fiorentina,35,1987,1.0,1.0,90.0,0.0,0.0,5.0,5.0,100.0,1.0,0.0,0.0,1.0,100.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.19,1.0,0.96,6.0,16.0,37.5,30.0,9.0,40.0,37.7,8.0,50.0,41.8,12.0,0.0,0.0,2.0,2.0,26.3
Łukasz Skorupski,pl POL,GK,Bologna,31,1991,37.0,37.0,3330.0,49.0,1.32,161.0,113.0,73.9,13.0,12.0,12.0,7.0,18.9,9.0,7.0,2.0,0.0,37.0,1.0,6.0,3.0,47.8,0.25,1.8,0.05,146.0,371.0,39.4,933.0,206.0,29.8,31.7,278.0,33.5,33.0,492.0,29.0,5.9,24.0,0.65,12.9
Marco Sportiello,it ITA,GK,Atalanta,30,1992,15.0,14.0,1339.0,21.0,1.41,64.0,43.0,68.8,6.0,3.0,5.0,2.0,14.3,1.0,1.0,0.0,0.0,14.9,1.0,2.0,0.0,19.6,0.29,-1.4,-0.1,52.0,148.0,35.1,346.0,85.0,20.5,28.8,116.0,66.4,49.7,200.0,18.0,9.0,18.0,1.21,15.0
Mile Svilar,rs SRB,GK,Roma,22,1999,3.0,3.0,270.0,3.0,1.0,10.0,7.0,70.0,1.0,1.0,1.0,1.0,33.3,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,2.9,0.29,-0.1,-0.03,16.0,44.0,36.4,61.0,13.0,50.8,41.4,16.0,81.3,60.1,42.0,6.0,14.3,4.0,1.33,12.1
Wojciech Szczęsny,pl POL,GK,Juventus,32,1990,28.0,28.0,2472.0,26.0,0.95,93.0,67.0,75.3,17.0,3.0,8.0,14.0,50.0,3.0,3.0,0.0,0.0,27.5,0.0,5.0,0.0,26.0,0.25,0.0,0.0,128.0,270.0,47.4,634.0,128.0,32.2,33.5,153.0,43.1,38.3,389.0,11.0,2.8,21.0,0.76,14.7
Ciprian Tătărușanu,ro ROU,GK,Milan,36,1986,16.0,16.0,1440.0,22.0,1.37,61.0,40.0,67.2,9.0,3.0,4.0,4.0,25.0,2.0,2.0,0.0,0.0,16.0,2.0,4.0,1.0,16.8,0.25,-4.2,-0.26,94.0,195.0,48.2,473.0,75.0,32.1,32.9,83.0,51.8,41.8,195.0,9.0,4.6,13.0,0.81,14.4
Pietro Terracciano,it ITA,GK,Fiorentina,32,1990,29.0,29.0,2610.0,38.0,1.31,96.0,59.0,66.7,9.0,8.0,12.0,5.0,17.2,7.0,6.0,1.0,0.0,29.0,0.0,3.0,2.0,33.1,0.28,-2.9,-0.1,155.0,375.0,41.3,871.0,113.0,32.7,33.2,198.0,45.5,40.5,271.0,12.0,4.4,55.0,1.9,18.4
Martin Turk,si SVN,GK,Sampdoria,18,2003,4.0,4.0,360.0,9.0,2.25,30.0,21.0,73.3,1.0,1.0,2.0,0.0,0.0,2.0,1.0,0.0,1.0,4.0,0.0,3.0,0.0,8.0,0.26,-1.0,-0.25,35.0,78.0,44.9,99.0,15.0,41.4,35.1,43.0,86.0,56.3,60.0,0.0,0.0,2.0,0.5,12.3
Samir Ujkani,xk KVX,GK,Empoli,34,1988,1.0,0.0,7.0,1.0,12.86,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.2,0.25,-0.8,-9.69,0.0,0.0,0.0,2.0,1.0,0.0,18.5,1.0,0.0,27.0,1.0,0.0,0.0,0.0,0.0,0.0
Guglielmo Vicario,it ITA,GK,Empoli,25,1996,31.0,31.0,2783.0,39.0,1.26,134.0,95.0,73.9,9.0,12.0,10.0,7.0,22.6,6.0,4.0,1.0,1.0,30.9,0.0,8.0,1.0,40.9,0.27,2.9,0.09,138.0,455.0,30.3,1106.0,151.0,33.5,33.8,170.0,50.0,42.9,606.0,34.0,5.6,22.0,0.71,11.5
Jeroen Zoet,nl NED,GK,Spezia,31,1991,5.0,4.0,334.0,4.0,1.08,13.0,9.0,76.9,0.0,3.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,3.7,0.0,1.0,0.0,2.8,0.14,-1.2,-0.31,25.0,78.0,32.1,110.0,13.0,54.5,39.0,23.0,78.3,58.4,62.0,4.0,6.5,6.0,1.61,14.7
Petar Zovko,ba BIH,GK,Spezia,20,2002,1.0,0.0,74.0,2.0,2.43,3.0,1.0,33.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.0,1.7,0.55,-0.3,-0.42,7.0,21.0,33.3,23.0,3.0,47.8,35.1,13.0,76.9,51.1,24.0,1.0,4.2,2.0,2.47,17.0
